type,ins,i30,i25,i14,i13,i12,i6,i5,i4 ,i3,i2,ibin,ssel1,ssel0,lsel2,lsel1,lsel0,brsel3,brsel2,brsel1,brsel0,as4,as3,as2,as1,as0,regwen,is2,is1,is0,bsel,obin
,,1,0,0,1,1,1,1,0,1,1,1001111011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,1,1,0,1,1,1,1,0,1,1,1101111011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,1,0,1,0,0,1,1,0,1,1,1010011011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,1,1,1,0,0,1,1,0,1,1,1110011011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,1,0,1,0,1,1,1,0,1,1,1010111011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,1,1,1,0,1,1,1,0,1,1,1110111011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,1,0,1,1,0,1,1,0,1,1,1011011011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,1,1,1,1,0,1,1,0,1,1,1111011011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,1,0,1,1,1,1,1,0,1,1,1011111011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,1,1,1,1,1,1,1,0,1,1,1111111011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
LOAD,lb,0,0,0,0,0,0,0,0,0,0,0000000000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0001100000000010001
,,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0001100000000010001
